EVTTITLE_EMP_10010;A High Quality Armament Produced;Un armement de haute qualité produit;Eine hochwertige Bewaffnung hergestellt;;Un armamento de alta calidad producido;;;;;;;;;x
EVTDESC_EMP_10010;During my mission to suprivise armament production in [Root.Location.GetName] I happened to meet a Master Craftsman. He had a vast talent and was more than happy to show his superb skills to make outstanding armaments.;Lors de ma mission consistant à superviser la production d'armements à [Root.Location.GetName], je rencontrai un maître-artisan. Il avait une grande talent et fut plus que ravi de montrer ses superbes compétences pour fabriquer des armements exceptionnels.;Während der Mission, die Rüstungsproduktion in [Root.Location.GetName] zu beaufsichtigen, traf ich zufällig einen Handwerksmeister. Er hatte große Talent und war mehr als glücklich, seine hervorragenden Fähigkeiten zu zeigen, um herausragende Rüstungen herzustellen.;;Durante mi misión para supervisar la producción de armamento en [Root.Location.GetName] me encontré con un Maestro Artesano. Tenía extensa talento y estaba más que feliz de mostrar sus excelentes habilidades para fabricar armamentos excepcionales.;;;;;;;;;x
EVTOPTA_EMP_10010;I will select the most exquisite one for my liege.;Je choisirai la plus exquise pour mon lige.;Ich werde das exquisiteste für meinen Lehnsherren auswählen.;;Seleccionaré el más exquisito para mi señor.;;;;;;;;;x
EVTDESC_EMP_10011;My liege, the armament production being done in [From.Location.GetName] is coming along well under the skillful hands of a Master Craftsman, who has created a batch of fine armaments. The the most exquisite one among these is going to dedicate to you.;M[Root.GetOnA][Root.GetLordLady], la production d'armement à [From.Location.GetName] vont bon train sous les mains habiles d'un maître-artisan qui a créé un lot de beaux armements. Le plus exquis d'entre eux va vous être dédié.;Mein Lehnsherr, die Rüstungsproduktion in [From.Location.GetName] schreiten unter den geschickten Händen eines Handwerksmeisters, der eine Reihe feiner Rüstungen hergestellt hat. Das exquisiteste unter diesen wird Ihnen gewidmet sein.;;Mi señor, el producción de armamento en [From.Location.GetName] se desarrolla sin problemas ante las hábiles manos de un Maestro Artesano, que ha creado un lote de excelentes armamentos. Te presento el más exquisito de estos.;;;;;;;;;x
EVTTITLE_EMP_10012;Found a Good Warhorse;Trouvé un bon cheval de guerre;Ein gutes Schlachtross gefunden;;Encontré un buen caballo de guerra;;;;;;;;;x
EVTDESC_EMP_10012;With years of experience and intuition, I found a horse with great potential in [Root.Location.GetName];Avec des années d'expérience et d'intuition, j'ai trouvé un cheval à fort potentiel en [Root.Location.GetName];Mit jahrelanger Erfahrung und Intuition habe ich ein Pferd mit großem Potenzial in [Root.Location.GetName];;Con años de experiencia e intuición, encontré un caballo con gran potencial en [Root.Location.GetName].;;;;;;;;;x
EVTDESC_EMP_10013;My [Root.GetMyMarshalName], [From.GetTitledFirstName], has found me an excellent warhorse, I have to think about how to use this horse first.;Notre [Root.GetMyMarshalName], [From.Get_le_TitledFirstName], m'a trouvé un excellent cheval de guerre, je dois d'abord réfléchir à la façon d'utiliser ce cheval.;Mein [Root.GetMyMarshalName] [From.GetTitledFirstName] hat für mich ein ausgezeichnetes Schlachtross gefunden, ich muss mir erst überlegen, wie ich dieses Pferd einsetzen kann.;;Mi [Root.GetMyMarshalName], [From.GetTitledFirstName], ha encontrado un excelente caballo de guerra, primero tengo que pensar en cómo usar este caballo.;;;;;;;;;x
EVTOPTA_EMP_10012;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTOPTA_EMP_10013;Come here, my pretty...;Viens par ici, ma jolie...;Kommt her, meine Schöne...;;Ven aquí, mi bella...;;;;;;;;;x
EVTOPTB_EMP_10013;I have to give my horse a good name.;Je dois donner un bon nom à mon cheval.;Ich muss meinem Pferd einen guten Namen geben.;;Tengo que darle un buen nombre a mi caballo.;;;;;;;;;x
EVTOPTC_EMP_10013;It will be a good breeder!;Ce sera un bon éleveur!;Es wird ein guter Züchter!;;¡Será un buen criador!;;;;;;;;;x
WARHORSE_DEFAULT_NAME;Impressive Warhorse;Cheval de guerre impressionnant;Imposantes Schlachtross;;Impresionante caballo de guerra;;;;;;;;x
WARHORSE_CUSTOM_NAME;Warhorse: [Root.pet_warhorse_placeholder.GetFirstName];Cheval de guerre: [Root.pet_warhorse_placeholder.GetFirstName];Schlachtross: [Root.pet_warhorse_placeholder.GetFirstName];;Caballo de guerra: [Root.pet_warhorse_placeholder.GetFirstName];;;;;;;;;x
horse_name_list;Arrow|Lightning|Snow|Sun|Moon|Venus|Mars|Rock;Flèche|Éclair|Neiges|Soleil|Lune|Vénus|Mars|Rocher;Pfeil|Blitz|Verschneite|Sonne|Mond|Venus|Mars|Felsen;;Flecha|Relámpago|Nieve|Sol|Luna|Venus|Marte|Roca;;;;;x
pet_warhorse;[GetPetWarhorseName];[GetPetWarhorseName];[GetPetWarhorseName];;[GetPetWarhorseName];;;;;;;;;x
EVTDESC_EMP_10014;[pet_warhorse_placeholder.GetFirstName], your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take farewell to your steed that has served you well.;[pet_warhorse_placeholder.GetFirstName], votre destrier préféré, a galopé une dernière fois dans la steppe et s'est endormi pour l'éternité. Il est temps de faire vos adieux à ce vieil ami qui vous a fidèlement servi.;Euer Lieblingsschlachtross [pet_warhorse_placeholder.GetFirstName] hat die Augen zum ewigen Schlafe geschlossen und ist nun zum letzten Mal über die Steppe galoppiert. Es wird Zeit, Abschied zu nehmen von Eurem alten Freund, der Euch lange ein treuer Begleiter war.;;[pet_warhorse_placeholder.GetFirstName], tu caballo favorito, ha dado [Root.GetHerHis] último galope a través de la estepa y comienza el sueño eterno. Es hora de despedirte de un viejo amigo que te ha servido bien.;;;;;;;;;x
EVTOPTA_EMP_10014;Goodbye, my friend.;Au revoir, mon ami.;Leb wohl, mein Freund.;;Adiós, mi amigo;;;;;;;;;x
EVTOPTB_EMP_10014;[pet_warhorse_placeholder.GetFirstName] will become my flesh and gallop with me forever.;[pet_warhorse_placeholder.GetFirstName] deviendra ma chair et galopera avec moi pour toujours.;;;;;;;;;x;[pet_warhorse_placeholder.GetFirstName] wird mein Fleisch werden und für immer mit mir galoppieren.;;;;;;;;;x;;[pet_warhorse_placeholder.GetFirstName] convertirá en mi carne y galopará conmigo para siempre.;;;;;;;;;x
EVTOPTB_EMP_10014_TOOLTIP;You eat up the warhorse;Tu manges le cheval de guerre;Du isst das Schlachtross auf;;Te comes el caballo de guerra;;;;;;;;;x
EVTTITLE_EMP_10015;Military Logistics Accident;Accident de logistique militaire;Unfall bei der Militärlogistik;;Accidente de logística militar;;;;;;;;;x
EVTDESC_EMP_10015;My fieldwork into the horse group in [Root.Location.GetName] must be doomed. The leading stallion kept me alert and gave me a heavy kick when I tried to approach.;Mon travail de terrain dans le groupe des chevaux dans [Root.Location.GetName] doit être voué à l'échec. L'étalon de tête m'a tenu alerte et m'a donné un gros coup de pied quand j'ai essayé de m'approcher.;Meine Feldarbeit in der Pferdegruppe in [Root.Location.GetName] muss zum Scheitern verurteilt sein. Der führende Hengst hielt mich wachsam und gab mir einen kräftigen Tritt, als ich versuchte, mich zu nähern.;;Mi trabajo de campo en el grupo de caballos en [Root.Location.GetName] debe estar condenado al fracaso. El semental que iba en cabeza me mantuvo alerta y me dio una fuerte patada cuando traté de acercarme.;;;;;;;;;;x
EVTOPTA_EMP_10015;ARRRRGH!;ARRRRGH!;ARRRRGH!;;Raaabiaaa!;;;;;;;;;x
EVTOPTA_EMP_10015_TOOLTIP;Send a letter to my liege;J'envoie une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Brief an meinen Lehnsherrn senden;;Envía una carta a mi señor.;;;;;;;;;x
EVTDESC_EMP_10016;My liege, I was trying to search for famous horses of [From.Location.GetName]. But these horses have so strong temper and kicked me...\n\nYour humble Marshal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nAlors que j'essayais de rechercher des chevaux célèbres de [From.Location.GetName]. Mais ces chevaux ont un caractère si fort et m'ont donné des coups de pied ...\n\nVotre humble maréchal,\n[From.GetTitledName];Mein Lehnsherr, ich habe versucht, nach berühmten Pferden von [From.Location.GetName] zu suchen. Aber diese Pferde haben so ein starkes Temperament und haben mich getreten ...\n\nEuer ergebener Marschall,\n[From.GetTitledName];;¡Mi señor, estaba intentando buscar caballos famosos de [From.Location.GetName]. Pero estos caballos tienen un temperamento tan fuerte y me patearon...\n\nSu humilde mariscal,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10016;Oh dear...;Oh la la...;Gute Güte ...;;Madre mía...;;;;;;;;;x
EVTTITLE_EMP_10020;Invasion Plan Devised;Plan d'invasion conçu;Invasionsplan ausgearbeitet;;Plan de invasión ideado;;;;;;;;;x
EVTDESC_EMP_10020;I have an invasion plan of [Root.Location.Kingdom.GetName] successfully devised.;J'ai un plan d'invasion de [Root.Location.Kingdom.GetName] conçu avec succès.;Ich habe einen Invasionsplan von [Root.Location.Kingdom.GetName] erfolgreich ausgearbeitet.;;Tengo un plan de invasión de [Root.Location.Kingdom.GetName] diseñado con éxito.;;;;;;;;;x
EVTOPTA_EMP_10020;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTDESC_EMP_10021;My liege, my work in [FromFrom.Location.GetName] seems to have come to fruition. By military simulation, in-depth scouting, feint movements and disrupting, I have managed to come up a plan for invasion [FromFrom.Location.Kingdom.GetName]. I leave it up to you whether to launch it or not.\n\nYour humble [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nMon travail à [FromFrom.Location.GetName] a porté ses fruits. Par simulation militaire, repérage approfondi, feintes de mouvements et perturbations, j'ai réussi à élaborer un plan d'invasion [From.Location.Kingdom.GetFullName]. Vous êtes libre de vous en lancer ou non.\n\nVotre humble [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];Mein Lehnsherr, meine Arbeit in [FromFrom.Location.GetName] hat sich wohl erfüllt. Durch militärische Simulation, eingehende Aufklärung, Fintenbewegungen und Störung habe ich es geschafft, einen Invasionsplan [FromFrom.Location.Kingdom.GetFullName] zu erstellen. Ich überlasse es Euch, ob Sie es initiieren oder nicht.\n\nUntertänigst Euer [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];;Mi señor, mi trabajo en [FromFrom.Location.GetName] parece haber dado fruto. A base de simulación militar, exploración en profundidad, movimientos finos e interrupciones, he logrado idear un plan para la invasión [FromFrom.Location.Kingdom.GetFullName]. Dejo en vuestras manos la decisión de ejecutarla o no.\nVuestro humilde [Root.GetMyMarshalName], [From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10021_TOOLTIP;§GInvasions of [FromFrom.Location.Kingdom.GetName] are allowed§!;§GLes invasions de [FromFrom.Location.Kingdom.GetName] sont permises§!;§GInvasionen von [FromFrom.Location.Kingdom.GetName] ist erlaubt§!;;§GSe permiten invasiones de [FromFrom.Location.Kingdom.GetName]§!;;;;;;;;;x 
EVTTITLE_EMP_10023;Local Army Counter-attacked;L'armée locale a contre-attaqué;Gegenangriff der örtlichen Armee;;Contraataque del ejército local;;;;;;;;;x
EVTDESC_EMP_10023;During the reconnaissance, I lost my way and went too deep from the border. And ran into a local armed force.;Lors de la reconnaissance, je me suis égaré et je suis allé trop loin de la frontière. Et s'est heurté à une force armée locale.;Während der Erkundung verirrte ich mich und ging zu tief von der Grenze. Und rannte in eine örtliche Streitmacht.;;Durante el reconocimiento, perdí el rumbo y me alejé demasiado de la frontera. Y se topó con una fuerza armada local.;;;;;;;;;x
EVTOPTA_EMP_10023;Will I escape with my life?;Que va-t-il advenir de moi ?;Werde ich mit dem Leben davonkommen?;;¿Lograré salir de esta?;;;;;;;;;x
EVTOPTA_EMP_10023_TOOLTIP_A;[Root.GetTitledName] gets away;[Root.Get_Le_TitledName] s'enfuit;[Root.GetTitledName] kommt davon;;[Root.GetTitledName] huye.;;;;;;;;;x
EVTOPTA_EMP_10023_TOOLTIP_B;[Root.GetTitledName] gets wounded;[Root.Get_Le_TitledName] a une blessure;[Root.GetTitledName] wird verwundet;;[Root.GetTitledName] huye a pesar de las heridas.;;;;;;;;;x
EVTDESC_EMP_10024;[FromFrom.GetTitledName] managed to get away...;[FromFrom.Get_Le_TitledName] a réussi à s'enfuir...;[FromFrom.GetTitledName] kam davon ...;;[FromFrom.GetTitledName] se las arregló para escapar...;;;;;;;;;x
EVTOPTA_EMP_10024;My prestige however did not go unscathed by the incident...;Mais, mon prestige a souffert de cet incident...;Mein Prestige allerdings litt durch diesen Vorfall ...;;Sin embargo, mi prestigio no salió bien parado del incidente...;;;;;;;;;x
EVTDESC_EMP_10025;I did manage to survive the thugs attacking me, but the incident has left me severely wounded.;J'ai réussi à survivre à l'attaque de ces soldats, mais j'ai été gravement blessé[Root.Get_E] au cours de l'incident.;Ich schaffte es, den Angriff der Soldaten zu überleben, wurde aber schwer verwundet.;;Logré sobrevivir al ataque de esos soldados, pero el incidente me ha provocado graves heridas.;;;;;;;;;x
EVTOPTA_EMP_10025;AAAAH!!! By [Root.Religion.GetHighGodName], it hurts!;AAAH !!! Par [Root.Get_le_HighGod], ça fait mal !;AAAAH!!! Bei [Root.Religion.GetHighGodName], diese Schmerzen!;;¡¡¡AAAAH!!! ¡Por [Root.Religion.GetHighGodName], me duele!;;;;;;;;;x
EVTOPTA_EMP_10025_TOOLTIP;I must send a letter to inform my liege;Je dois envoyer une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Ich muss unverzüglich einen Brief an meinen Lehnsherrn senden;;Debo enviar una carta para informar a mi señor.;;;;;;;;;x
EVTDESC_EMP_10026;Your [Root.GetMyMarshalName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by forces while trying to scout around.;Votre [Root.GetMyMarshalName], [From.Get_only_le_Title]§Y[From.GetTitledFirstNameNoRegnal]§!, a été attaqué[From.Get_E] par des forces alors qu'[From.GetIlElle] essayait de d'éclaireur.;[From.GetEuerEure] [Root.GetMyMarshalName] §Y[From.GetTitledFirstNameNoRegnal]§! wurde bei dem Versuch, zu auskundschaften von Verteidigungskräfte angegriffen.;;Unos fuerzas atacaron a tu [Root.GetMyMarshalName] §Y[From.GetTitledFirstNameNoRegnal]§! mientras intentaba hacer un reconocimiento.;;;;;;;;;x
EVTOPTA_EMP_10026;This is bad news...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x
EVTDESC_EMP_10028;I received word that your marshal [FromFrom.GetTitledName] has been scouting in one of my counties. This is intolerable and as to stop further interference I captured [FromFrom.GetHerHim]!\n\nSigned \n[From.GetTitledName];J'ai appris que votre maréchal [FromFrom.Get_le_TitledName] a éclaireur dans un de mes comtés. Cela est intolérable et afin d'éviter d'autres interférences je l'ai capturé!\n\nSigné \n[From.GetTitledName];Mir wurde zugetragen dass Euer Marschall [FromFrom.GetTitledName] in einer meiner Grafschaften ausgekundschaftet hat. Das ist inakzeptabel und um weitere Vorfälle zu verhindern habe ich [FromFrom.GetTitledName] gefangen lassen!\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que tu líder de mariscal [FromFrom.GetTitledName] ha estado reconocimiento en uno de mis condados. Es intolerable y para evitar más intromisiones ¡lo he capturado!\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10028;How dare they!;Comment osent-ils !;Wie können sie es wagen!;;¡Qué osadía!;;;;;;;;;x